Content_id,IMBD_id,IMDB_Rating,Meta_score,Director,Star1,Star2,awards_won,No_of_nomination,No_of_Votes, Gross ,SRC_DATE
C0001,I0001,9.3,80,Frank Darabont,Tim Robbins,Morgan Freeman,2,11,2343110,"2,83,41,469",2025-03-29
C0002,I0002,9.2,100,Francis Ford Coppola,Marlon Brando,Al Pacino,1,20,1620367,"13,49,66,411",2025-06-01
C0003,I0003,9,84,Christopher Nolan,Christian Bale,Heath Ledger,4,6,2303232,"53,48,58,444",2025-04-05
C0004,I0004,9,90,Francis Ford Coppola,Al Pacino,Robert De Niro,7,25,1129952,"5,73,00,000",2025-02-23
C0005,I0005,9,96,Sidney Lumet,Henry Fonda,Lee J. Cobb,0,16,689845,"43,60,000",2025-02-04
C0006,I0006,8.9,94,Peter Jackson,Elijah Wood,Viggo Mortensen,2,9,1642758,"37,78,45,905",2025-03-09
C0007,I0007,8.9,94,Quentin Tarantino,John Travolta,Uma Thurman,5,14,1826188,"10,79,28,762",2025-02-24
C0008,I0008,8.9,94,Steven Spielberg,Liam Neeson,Ralph Fiennes,9,24,1213505,"9,68,98,818",2025-02-05
C0009,I0009,8.8,74,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,4,21,2067042,"29,25,76,195",2025-06-13
C0010,I0010,8.8,66,David Fincher,Brad Pitt,Edward Norton,6,19,1854740,"3,70,30,102",2025-05-07
C0011,I0011,8.8,92,Peter Jackson,Elijah Wood,Ian McKellen,10,9,1661481,"31,55,44,750",2025-03-28
C0012,I0012,8.8,82,Robert Zemeckis,Tom Hanks,Robin Wright,4,11,1809221,"33,02,52,182",2025-05-20
C0013,I0013,8.8,90,Sergio Leone,Clint Eastwood,Eli Wallach,4,14,688390,"61,00,000",2025-05-16
C0014,I0014,8.7,87,Peter Jackson,Elijah Wood,Ian McKellen,7,23,1485555,"34,25,51,365",2025-01-22
C0015,I0015,8.7,73,Lana Wachowski,Lilly Wachowski,Keanu Reeves,5,11,1676426,"17,14,79,930",2025-03-04
C0016,I0016,8.7,90,Martin Scorsese,Robert De Niro,Ray Liotta,5,16,1020727,"4,68,36,394",2025-03-25
C0017,I0017,8.7,82,Irvin Kershner,Mark Hamill,Harrison Ford,6,12,1159315,"29,04,75,067",2025-06-11
C0018,I0018,8.7,83,Milos Forman,Jack Nicholson,Louise Fletcher,0,10,918088,"11,20,00,000",2025-05-21
C0019,I0019,8.6,90,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,0,22,55291,"13,49,66,411",2025-06-16
C0020,I0020,8.6,96,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,8,14,552778,"53,48,58,444",2025-06-25
C0021,I0021,8.6,59,Sudha Kongara,Suriya,Madhavan,10,22,54995,"5,73,00,000",2025-05-08
C0022,I0022,8.6,74,Christopher Nolan,Matthew McConaughey,Anne Hathaway,6,16,1512360,"43,60,000",2025-02-03
C0023,I0023,8.6,79,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,9,24,699256,"37,78,45,905",2025-04-04
C0024,I0024,8.6,96,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,5,12,651376,"10,79,28,762",2025-03-31
C0025,I0025,8.6,91,Steven Spielberg,Tom Hanks,Matt Damon,3,13,1235804,"9,68,98,818",2025-02-15
C0026,I0026,8.6,61,Frank Darabont,Tom Hanks,Michael Clarke Duncan,10,13,1147794,"29,25,76,195",2025-04-16
C0027,I0027,8.6,59,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,8,25,623629,"3,70,30,102",2025-02-12
C0028,I0028,8.6,65,David Fincher,Morgan Freeman,Brad Pitt,8,15,1445096,"31,55,44,750",2025-01-23
C0029,I0029,8.6,85,Jonathan Demme,Jodie Foster,Anthony Hopkins,8,11,1270197,"33,02,52,182",2025-02-12
C0030,I0030,8.6,90,George Lucas,Mark Hamill,Harrison Ford,10,16,1231473,"61,00,000",2025-03-09
C0031,I0031,8.6,85,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,5,21,42004,"53,48,58,444",2025-02-17
C0032,I0032,8.6,98,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,4,13,315744,"2,69,061",2025-06-08
C0033,I0033,8.6,89,Frank Capra,James Stewart,Donna Reed,5,9,405801,"29,25,76,195",2025-05-13
C0034,I0034,8.5,59,Todd Phillips,Joaquin Phoenix,Robert De Niro,8,23,939252,"33,54,51,311",2025-05-27
C0035,I0035,8.5,88,Damien Chazelle,Miles Teller,J.K. Simmons,6,15,717585,"1,30,92,000",2025-01-08
C0036,I0036,8.5,57,Olivier Nakache,Éric Toledano,François Cluzet,0,7,760360,"1,31,82,281",2025-01-23
C0037,I0037,8.5,66,Christopher Nolan,Christian Bale,Hugh Jackman,9,9,1190259,"5,30,89,891",2025-01-19
C0038,I0038,8.5,85,Martin Scorsese,Leonardo DiCaprio,Matt Damon,2,22,1189773,"13,23,84,315",2025-03-04
C0039,I0039,8.5,85,Roman Polanski,Adrien Brody,Thomas Kretschmann,2,24,729603,"3,25,72,577",2025-04-27
C0040,I0040,8.5,67,Ridley Scott,Russell Crowe,Joaquin Phoenix,3,22,1341460,"18,77,05,427",2025-02-28
C0041,I0041,8.5,62,Tony Kaye,Edward Norton,Edward Furlong,7,14,1034705,"67,19,864",2025-02-01
C0042,I0042,8.5,77,Bryan Singer,Kevin Spacey,Gabriel Byrne,7,15,991208,"2,33,41,568",2025-06-14
C0043,I0043,8.5,64,Luc Besson,Jean Reno,Gary Oldman,6,25,1035236,"1,95,01,238",2025-06-30
C0044,I0044,8.5,88,Roger Allers,Rob Minkoff,Matthew Broderick,1,8,942045,"42,27,83,777",2025-04-11
C0045,I0045,8.5,75,James Cameron,Arnold Schwarzenegger,Linda Hamilton,1,20,995506,"20,48,43,350",2025-03-09
C0046,I0046,8.5,80,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,3,11,230763,"1,19,90,401",2025-04-25
C0047,I0047,8.5,94,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,7,24,235231,"4,36,00,555",2025-02-11
C0048,I0048,8.5,87,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,10,20,1058081,"21,06,09,762",2025-02-13
C0049,I0049,8.5,80,Sergio Leone,Henry Fonda,Charles Bronson,2,24,302844,"53,21,508",2025-04-23
C0050,I0050,8.5,97,Alfred Hitchcock,Anthony Perkins,Janet Leigh,5,13,604211,"3,20,00,000",2025-01-13
C0051,I0051,8.5,100,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,0,11,522093,"10,24,560",2025-03-10
C0052,I0052,8.5,96,Charles Chaplin,Charles Chaplin,Paulette Goddard,7,17,217881,"1,63,245",2025-06-20
C0053,I0053,8.5,99,Charles Chaplin,Charles Chaplin,Virginia Cherrill,1,9,167839,"19,181",2025-05-05
C0054,I0054,8.4,75,Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,1,19,62635,"16,61,096",2025-05-31
C0055,I0055,8.4,80,Can Ulkay,Erdem Can,Çetin Tekindor,4,24,34112,"29,25,76,195",2025-01-03
C0056,I0056,8.4,71,Gayatri,Pushkar,Madhavan,7,10,28401,"61,00,465",2025-01-21
C0057,I0057,8.4,79,Makoto Shinkai,Ryûnosuke Kamiki,Mone Kamishiraishi,7,7,194838,"50,17,246",2025-02-26
C0058,I0058,8.4,91,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,5,8,156479,"1,23,91,761",2025-06-11
C0059,I0059,8.4,87,Bob Persichetti,Peter Ramsey,Rodney Rothman,10,22,375110,"19,02,41,310",2025-05-15
C0060,I0060,8.4,78,Anthony Russo,Joe Russo,Robert Downey Jr.,7,10,809955,"85,83,73,000",2025-06-05
