user_id,gender,dob,age,country,region,device_type,platform_name,title_id,watch_duration_min,completed,subscription_start,subscription_end,plan_name,monthly_cost_usd,currency,payment_mode,auto_renew,resolution,device_limit,simultaneous_streams,ads_included
U1001,Other,24-02-1974,51,Austria,New Mexico,TV,"Hotstar,Prime",,63,1,06-08-2024,06-08-2025,Standard,16.11,USD,UPI,TRUE,4K,2,2,TRUE
U1002,Female,20-12-1981,43,Slovakia (Slovak Republic),Hawaii,Mobile,"Hotstar,Netflix,Prime",,23,1,28-06-2025,28-06-2026,Standard,8.51,USD,UPI,TRUE,SD,1,1,TRUE
U1003,Male,14-07-1975,50,Netherlands Antilles,Idaho,Laptop,Netflix,,74,1,26-10-2024,26-10-2025,Standard,9.81,INR,Wallet,TRUE,4K,3,3,FALSE
U1004,Male,08-09-1992,32,Timor-Leste,Maryland,Mobile,"Hotstar,Netflix",,64,0,19-01-2025,19-01-2026,Premium,16.94,USD,Wallet,TRUE,HD,4,4,FALSE
U1005,Female,03-12-1983,41,South Georgia and the South Sandwich Islands,Oklahoma,Mobile,"Hotstar,Netflix,Prime",,107,0,21-10-2023,20-10-2024,Premium,16.41,INR,Wallet,FALSE,HD,4,3,TRUE
U1006,Other,21-06-1993,32,Iceland,Tennessee,Laptop,Netflix,,103,1,16-05-2024,16-05-2025,Basic,11.24,USD,Card,FALSE,HD,2,2,TRUE
U1007,Male,29-12-2001,23,Rwanda,Indiana,TV,Prime,,116,0,03-04-2025,03-04-2026,Standard,19.85,USD,Wallet,FALSE,HD,3,3,TRUE
U1008,Male,09-08-1970,54,Yemen,New Hampshire,TV,"Hotstar,Netflix,Prime",,24,0,30-11-2023,29-11-2024,Standard,12.13,USD,Wallet,TRUE,SD,2,1,FALSE
U1009,Female,17-02-1988,37,French Southern Territories,Colorado,Laptop,"Hotstar,Netflix,Prime",,47,0,03-09-2024,03-09-2025,Basic,18.47,INR,Wallet,FALSE,HD,3,2,TRUE
U1010,Female,28-11-1991,33,Dominican Republic,West Virginia,Mobile,"Hotstar,Netflix,Prime",,72,1,29-09-2023,28-09-2024,Basic,9.03,INR,Card,TRUE,HD,1,1,FALSE
U1011,Female,07-02-1996,29,Heard Island and McDonald Islands,Missouri,Mobile,"Hotstar,Netflix,Prime",,54,1,17-07-2024,17-07-2025,Basic,11.09,INR,UPI,TRUE,HD,3,1,FALSE
U1012,Other,17-04-1995,30,Tokelau,South Carolina,Mobile,Prime,,20,1,12-05-2024,12-05-2025,Premium,9.3,INR,UPI,FALSE,SD,3,2,TRUE
U1013,Male,17-07-1988,36,New Caledonia,Kentucky,Mobile,"Hotstar,Netflix,Prime",,91,0,05-11-2023,04-11-2024,Premium,16.05,USD,Card,FALSE,4K,3,3,FALSE
U1014,Other,20-10-1972,52,Comoros,Florida,TV,"Hotstar,Netflix",,18,0,04-04-2025,04-04-2026,Standard,11.58,USD,UPI,FALSE,4K,2,1,TRUE
U1015,Male,05-02-1986,39,Tokelau,Louisiana,TV,"Hotstar,Netflix",,98,0,07-10-2023,06-10-2024,Standard,12.34,INR,Card,TRUE,4K,1,1,TRUE
U1016,Male,23-07-1985,39,Mayotte,Hawaii,Laptop,"Netflix,Prime",,70,0,21-06-2024,21-06-2025,Standard,7.24,INR,UPI,TRUE,4K,3,2,TRUE
U1017,Other,08-07-1999,26,Somalia,California,Laptop,Hotstar,,14,0,07-08-2024,07-08-2025,Standard,19.62,USD,Wallet,TRUE,HD,2,2,FALSE
U1018,Other,06-05-1975,50,Sri Lanka,Michigan,Mobile,"Hotstar,Netflix,Prime",,58,1,18-01-2025,18-01-2026,Standard,5.03,USD,Wallet,TRUE,SD,4,3,FALSE
U1019,Male,22-01-1983,42,Grenada,Wisconsin,Laptop,"Hotstar,Netflix,Prime",,68,0,12-11-2024,12-11-2025,Basic,14.57,INR,Wallet,FALSE,SD,1,1,FALSE
U1020,Other,21-11-1983,41,Isle of Man,Georgia,TV,Netflix,,120,1,27-04-2025,27-04-2026,Premium,6.76,USD,Card,TRUE,SD,3,2,TRUE
U1021,Male,28-07-1990,34,Gibraltar,Indiana,Mobile,Prime,,97,0,29-03-2025,29-03-2026,Basic,19.3,USD,Card,TRUE,4K,4,4,TRUE
U1022,Male,14-09-1979,45,Russian Federation,Florida,Mobile,"Hotstar,Prime",,80,0,31-03-2024,31-03-2025,Standard,6.64,USD,Card,FALSE,4K,4,1,FALSE
U1023,Female,16-04-1978,47,Greenland,Maine,TV,"Netflix,Prime",,94,0,12-10-2024,12-10-2025,Standard,10.96,USD,Wallet,TRUE,4K,2,1,FALSE
U1024,Female,01-05-2005,20,Uruguay,Virginia,TV,"Hotstar,Netflix,Prime",,120,1,15-04-2024,15-04-2025,Standard,8.76,INR,Card,TRUE,HD,2,1,FALSE
U1025,Male,26-12-2002,22,Central African Republic,Virginia,Laptop,Netflix,,29,0,09-01-2024,08-01-2025,Basic,9.95,USD,Card,FALSE,SD,3,2,FALSE
U1026,Female,13-10-1997,27,Vanuatu,Idaho,TV,"Hotstar,Prime",,94,1,30-12-2023,29-12-2024,Premium,9.21,USD,Card,TRUE,HD,2,2,FALSE
U1027,Female,04-01-2002,23,Heard Island and McDonald Islands,Oklahoma,Mobile,Prime,,51,1,22-02-2025,22-02-2026,Basic,18.74,USD,UPI,FALSE,4K,4,2,TRUE
U1028,Other,22-07-2005,19,Angola,North Carolina,Laptop,"Hotstar,Netflix,Prime",,23,0,15-03-2025,15-03-2026,Premium,17.97,INR,UPI,FALSE,4K,3,2,FALSE
U1029,Female,29-05-1968,57,El Salvador,Alabama,Laptop,"Hotstar,Netflix,Prime",,32,0,24-09-2024,24-09-2025,Basic,5.1,USD,UPI,FALSE,4K,2,2,TRUE
U1030,Female,09-07-1977,48,Israel,Ohio,Mobile,"Hotstar,Prime",,30,0,16-03-2025,16-03-2026,Standard,8.7,USD,Wallet,TRUE,4K,2,2,FALSE
U1031,Female,20-05-1992,33,Rwanda,Mississippi,TV,Prime,,18,0,09-06-2025,09-06-2026,Basic,11.28,USD,Card,TRUE,4K,4,3,TRUE
U1032,Other,15-10-1993,31,Northern Mariana Islands,Florida,TV,"Netflix,Prime",,19,0,28-01-2025,28-01-2026,Premium,11.44,USD,Card,FALSE,HD,2,1,FALSE
U1033,Female,06-12-1969,55,Togo,Wisconsin,Laptop,"Hotstar,Netflix,Prime",,54,1,03-03-2024,03-03-2025,Premium,16.95,INR,UPI,TRUE,4K,2,1,TRUE
U1034,Other,02-07-1997,28,Chad,Arizona,Laptop,Netflix,,79,0,28-11-2024,28-11-2025,Basic,19.86,USD,Wallet,TRUE,4K,1,1,FALSE
U1035,Other,09-09-1988,36,Dominica,North Carolina,TV,"Hotstar,Prime",,113,0,16-10-2024,16-10-2025,Premium,7.57,USD,UPI,FALSE,SD,3,3,TRUE
U1036,Male,05-09-1985,39,Pakistan,Minnesota,Mobile,Hotstar,,53,0,07-06-2024,07-06-2025,Basic,7.1,USD,Wallet,TRUE,4K,2,2,FALSE
U1037,Male,21-02-1999,26,Kyrgyz Republic,Pennsylvania,TV,"Hotstar,Netflix,Prime",,59,1,08-09-2023,07-09-2024,Premium,12.64,USD,Wallet,FALSE,HD,3,2,FALSE
U1038,Female,23-07-1976,48,Heard Island and McDonald Islands,Utah,Laptop,Netflix,,48,1,29-11-2023,28-11-2024,Standard,14.14,USD,Card,TRUE,4K,4,3,FALSE
U1039,Other,03-10-1992,32,Belize,Alabama,TV,Hotstar,,47,0,10-10-2023,09-10-2024,Standard,11.71,USD,UPI,TRUE,4K,3,2,FALSE
U1040,Female,23-08-1980,44,Trinidad and Tobago,Michigan,TV,"Hotstar,Netflix,Prime",,9,0,24-01-2025,24-01-2026,Premium,19.15,USD,Wallet,FALSE,HD,4,2,TRUE
U1041,Other,20-04-1994,31,Eritrea,Oregon,Laptop,"Hotstar,Netflix",,76,0,29-08-2023,28-08-2024,Basic,9.09,INR,Wallet,FALSE,HD,2,2,FALSE
U1042,Female,15-09-1965,59,Rwanda,Maryland,Laptop,"Netflix,Prime",,51,0,27-11-2023,26-11-2024,Premium,6.98,INR,UPI,FALSE,4K,3,3,TRUE
U1043,Other,26-07-1984,40,Tajikistan,Indiana,Mobile,"Hotstar,Netflix,Prime",,83,0,04-11-2023,03-11-2024,Basic,14.9,USD,Wallet,FALSE,4K,3,2,FALSE
U1044,Female,14-01-1998,27,Palau,Connecticut,Laptop,"Hotstar,Netflix",,107,1,10-04-2024,10-04-2025,Standard,12.89,USD,Wallet,TRUE,4K,2,2,TRUE
U1045,Male,14-01-1993,32,Tajikistan,Rhode Island,TV,"Hotstar,Netflix,Prime",,57,0,03-02-2025,03-02-2026,Basic,12.61,USD,Card,FALSE,SD,4,4,FALSE
U1046,Female,20-09-1966,58,Congo,Rhode Island,TV,"Hotstar,Prime",,117,1,18-06-2025,18-06-2026,Premium,15.16,USD,Card,TRUE,4K,1,1,TRUE
U1047,Other,06-10-2004,20,Peru,Rhode Island,TV,Hotstar,,58,1,23-07-2023,22-07-2024,Basic,16.24,INR,UPI,TRUE,HD,2,2,FALSE
U1048,Female,22-08-1970,54,Antarctica (the territory South of 60 deg S),North Dakota,Mobile,"Hotstar,Prime",,52,0,07-05-2025,07-05-2026,Standard,9.57,INR,UPI,TRUE,SD,1,1,FALSE
U1049,Male,09-12-1968,56,Cook Islands,Tennessee,TV,"Hotstar,Netflix,Prime",,72,1,12-12-2024,12-12-2025,Standard,15.55,INR,Card,FALSE,SD,3,3,TRUE
U1050,Other,02-06-1988,37,Lebanon,Iowa,Mobile,"Hotstar,Prime",,78,1,30-06-2024,30-06-2025,Premium,5.35,USD,Card,FALSE,HD,1,1,TRUE
U1051,Other,15-02-1967,58,Cape Verde,Kansas,Mobile,Hotstar,,119,0,14-08-2024,14-08-2025,Basic,17.29,INR,Card,TRUE,HD,1,1,TRUE
U1052,Other,28-12-1979,45,Ghana,Vermont,Mobile,"Hotstar,Prime",,31,1,24-07-2024,24-07-2025,Standard,18.08,INR,Card,FALSE,4K,1,1,FALSE
U1053,Male,16-06-1983,42,Maldives,Mississippi,Laptop,"Hotstar,Netflix,Prime",,112,1,09-09-2023,08-09-2024,Standard,13.95,USD,Wallet,FALSE,SD,2,1,TRUE
U1054,Male,20-07-1997,27,Slovakia (Slovak Republic),Louisiana,Mobile,"Hotstar,Netflix,Prime",,108,1,25-10-2024,25-10-2025,Basic,17.25,INR,UPI,FALSE,4K,4,1,TRUE
U1055,Female,08-03-2004,21,Japan,Kansas,Mobile,Hotstar,,55,1,28-09-2023,27-09-2024,Premium,12.23,INR,Wallet,TRUE,SD,4,4,TRUE
U1056,Female,04-02-1978,47,Ecuador,Illinois,TV,"Hotstar,Prime",,45,0,16-01-2025,16-01-2026,Premium,9.79,INR,UPI,FALSE,4K,4,3,FALSE
U1057,Male,22-04-1976,49,Kenya,North Dakota,TV,"Hotstar,Netflix,Prime",,11,1,09-02-2025,09-02-2026,Standard,6.08,INR,UPI,TRUE,HD,1,1,FALSE
U1058,Male,16-06-1992,33,Georgia,Florida,TV,"Netflix,Prime",,98,0,15-08-2024,15-08-2025,Standard,10.5,USD,Card,TRUE,4K,2,1,FALSE
U1059,Female,17-04-1987,38,Congo,Mississippi,Laptop,"Netflix,Prime",,22,0,11-03-2024,11-03-2025,Standard,16.09,USD,Wallet,FALSE,HD,4,3,FALSE
U1060,Other,17-05-1991,34,New Zealand,Rhode Island,Mobile,Hotstar,,79,1,07-01-2024,06-01-2025,Standard,19.58,USD,Wallet,FALSE,HD,1,1,TRUE
U1061,Female,20-08-2006,18,Canada,New Hampshire,Mobile,"Hotstar,Netflix,Prime",,14,1,06-05-2024,06-05-2025,Basic,15.7,USD,Card,FALSE,4K,2,1,TRUE
U1062,Female,19-09-1972,52,Equatorial Guinea,Michigan,Mobile,"Hotstar,Netflix,Prime",,107,1,02-03-2025,02-03-2026,Standard,12.93,INR,Card,FALSE,HD,3,3,TRUE
U1063,Male,26-05-1982,43,Korea,Tennessee,TV,"Hotstar,Netflix,Prime",,37,1,06-04-2024,06-04-2025,Basic,5.46,INR,Card,FALSE,SD,4,2,TRUE
U1064,Other,24-10-1971,53,Antarctica (the territory South of 60 deg S),Hawaii,Mobile,"Hotstar,Netflix",,71,0,25-06-2025,25-06-2026,Premium,15.38,USD,Wallet,TRUE,SD,3,1,FALSE
U1065,Other,07-12-1975,49,Palau,Idaho,Mobile,"Netflix,Prime",,26,0,05-08-2023,04-08-2024,Basic,11.6,USD,Card,FALSE,SD,1,1,TRUE
U1066,Male,24-12-1977,47,Burkina Faso,Oklahoma,Mobile,"Netflix,Prime",,87,0,26-11-2023,25-11-2024,Standard,17.05,USD,UPI,FALSE,HD,4,3,FALSE
U1067,Other,18-10-1973,51,Uzbekistan,Virginia,Laptop,"Hotstar,Prime",,88,1,29-07-2023,28-07-2024,Basic,16.74,USD,UPI,TRUE,HD,3,3,FALSE
U1068,Female,28-10-1975,49,Gibraltar,West Virginia,Laptop,Prime,,71,1,15-09-2024,15-09-2025,Premium,14.03,USD,UPI,TRUE,HD,3,2,FALSE
U1069,Male,11-11-1971,53,Albania,Louisiana,Laptop,"Hotstar,Prime",,81,1,12-09-2023,11-09-2024,Basic,5.03,INR,Wallet,FALSE,SD,2,1,FALSE
U1070,Female,04-07-2007,18,Georgia,South Dakota,Mobile,"Hotstar,Netflix,Prime",,63,0,24-06-2025,24-06-2026,Basic,12.4,INR,UPI,FALSE,4K,4,2,TRUE
U1071,Other,10-10-1998,26,Djibouti,Virginia,TV,Prime,,46,0,15-12-2024,15-12-2025,Standard,6.23,INR,Card,FALSE,SD,2,1,TRUE
U1072,Male,05-09-1978,46,Antarctica (the territory South of 60 deg S),Hawaii,Laptop,"Hotstar,Netflix,Prime",,36,0,14-07-2024,14-07-2025,Standard,9.27,USD,UPI,TRUE,SD,2,2,TRUE
U1073,Other,27-02-1970,55,Tanzania,New York,Laptop,"Hotstar,Prime",,108,1,08-09-2023,07-09-2024,Standard,5.44,INR,Card,TRUE,HD,3,1,TRUE
U1074,Female,11-01-1982,43,British Indian Ocean Territory (Chagos Archipelago),South Carolina,Laptop,Hotstar,,13,1,17-09-2024,17-09-2025,Standard,18.17,INR,Wallet,TRUE,HD,3,2,FALSE
U1075,Other,20-01-1982,43,Liechtenstein,Vermont,Laptop,"Hotstar,Netflix,Prime",,27,1,22-07-2023,21-07-2024,Basic,5.3,INR,UPI,TRUE,HD,1,1,TRUE
U1076,Male,16-04-1987,38,Timor-Leste,New Mexico,Laptop,"Hotstar,Netflix",,53,0,23-09-2024,23-09-2025,Premium,8,INR,UPI,TRUE,4K,3,2,TRUE
U1077,Female,13-04-1974,51,Lesotho,Alabama,Laptop,Hotstar,,61,0,26-11-2023,25-11-2024,Standard,11.13,INR,UPI,TRUE,SD,2,2,FALSE
U1078,Female,16-02-1994,31,Liberia,New Hampshire,TV,Prime,,91,0,27-09-2024,27-09-2025,Premium,18.25,USD,Card,FALSE,HD,4,2,FALSE
U1079,Female,25-09-1992,32,Luxembourg,Vermont,TV,"Hotstar,Prime",,69,0,24-08-2024,24-08-2025,Basic,5.9,INR,UPI,FALSE,4K,3,3,TRUE
U1080,Other,13-01-1990,35,Bahamas,Indiana,Mobile,"Hotstar,Netflix,Prime",,92,0,05-09-2023,04-09-2024,Standard,17.12,USD,Wallet,TRUE,HD,2,1,TRUE
U1081,Female,08-09-1984,40,Antigua and Barbuda,Montana,TV,"Hotstar,Netflix",,22,1,19-09-2023,18-09-2024,Premium,10.81,USD,Wallet,TRUE,4K,4,3,FALSE
U1082,Other,31-03-1995,30,Eritrea,Idaho,Mobile,"Hotstar,Netflix,Prime",,6,1,17-07-2023,16-07-2024,Premium,17.88,USD,UPI,FALSE,4K,4,4,FALSE
U1083,Other,21-04-2006,19,Bangladesh,Texas,Laptop,"Hotstar,Prime",,67,1,15-10-2023,14-10-2024,Standard,9.17,USD,Wallet,FALSE,4K,1,1,FALSE
U1084,Male,23-01-1994,31,Macedonia,Alaska,Laptop,Prime,,35,0,29-06-2025,29-06-2026,Basic,5.26,USD,UPI,FALSE,HD,2,1,TRUE
U1085,Female,06-12-2001,23,Mali,Rhode Island,Laptop,"Hotstar,Netflix,Prime",,14,1,03-12-2023,02-12-2024,Standard,15.51,USD,UPI,FALSE,SD,4,2,TRUE
U1086,Male,07-01-1967,58,Pitcairn Islands,Mississippi,Mobile,"Hotstar,Netflix",,39,0,29-03-2024,29-03-2025,Premium,15.7,INR,Wallet,TRUE,HD,3,1,FALSE
U1087,Male,04-12-1993,31,Holy See (Vatican City State),Colorado,TV,Netflix,,43,1,04-09-2024,04-09-2025,Basic,18.94,INR,UPI,TRUE,SD,4,1,TRUE
U1088,Male,06-01-1970,55,Vietnam,New Hampshire,TV,"Netflix,Prime",,120,1,27-10-2024,27-10-2025,Standard,17.05,INR,UPI,FALSE,HD,3,2,FALSE
U1089,Other,17-03-2007,18,Tonga,Missouri,Mobile,"Hotstar,Netflix,Prime",,96,1,07-12-2024,07-12-2025,Standard,10.22,USD,Card,FALSE,4K,2,2,FALSE
U1090,Male,02-03-1995,30,Luxembourg,Tennessee,TV,"Netflix,Prime",,41,0,07-05-2025,07-05-2026,Basic,13.92,USD,UPI,TRUE,HD,2,1,FALSE
U1091,Male,24-06-2003,22,Cook Islands,Utah,Laptop,Hotstar,,46,0,05-08-2024,05-08-2025,Premium,14.46,INR,Wallet,FALSE,SD,4,1,TRUE
U1092,Other,12-04-1994,31,Venezuela,Arizona,Laptop,"Hotstar,Netflix,Prime",,74,1,10-01-2025,10-01-2026,Standard,9.77,INR,Wallet,TRUE,4K,4,2,FALSE
U1093,Other,25-06-1972,53,Zimbabwe,Rhode Island,Mobile,"Hotstar,Netflix,Prime",,99,1,02-11-2023,01-11-2024,Basic,10.83,USD,Card,FALSE,HD,3,2,FALSE
U1094,Other,11-12-1981,43,Honduras,Vermont,Laptop,Hotstar,,23,0,21-08-2023,20-08-2024,Standard,9.63,USD,Wallet,TRUE,4K,1,1,FALSE
U1095,Female,08-01-1970,55,Jamaica,Wyoming,Mobile,Prime,,112,1,09-05-2024,09-05-2025,Standard,9.95,USD,UPI,TRUE,SD,1,1,TRUE
U1096,Male,11-12-1965,59,Bermuda,Colorado,Laptop,"Hotstar,Netflix,Prime",,106,1,03-06-2024,03-06-2025,Premium,15.65,INR,Wallet,FALSE,4K,1,1,FALSE
U1097,Other,06-07-1991,34,Spain,Illinois,TV,"Hotstar,Netflix,Prime",,61,0,02-04-2025,02-04-2026,Premium,19.51,USD,Card,TRUE,HD,1,1,TRUE
U1098,Other,04-10-1966,58,Reunion,Connecticut,TV,Prime,,48,0,26-04-2024,26-04-2025,Premium,5.83,INR,UPI,TRUE,SD,1,1,FALSE
U1099,Other,27-01-1995,30,Saint Pierre and Miquelon,Virginia,Mobile,"Hotstar,Netflix,Prime",,55,1,14-02-2025,14-02-2026,Basic,5.77,INR,UPI,TRUE,SD,1,1,TRUE
U1100,Other,18-10-1992,32,Thailand,Alabama,Mobile,"Hotstar,Prime",,13,1,01-11-2023,31-10-2024,Basic,12.25,INR,UPI,FALSE,SD,2,2,FALSE
U1101,Male,29-04-1998,27,Papua New Guinea,Kansas,TV,"Hotstar,Netflix",,117,0,19-02-2025,19-02-2026,Basic,8.77,USD,UPI,TRUE,SD,4,4,TRUE
U1102,Female,25-08-1990,34,Nauru,Hawaii,Laptop,"Netflix,Prime",,93,0,17-08-2024,17-08-2025,Premium,11.66,USD,UPI,TRUE,SD,1,1,FALSE
U1103,Male,01-08-1964,60,Poland,Arkansas,Mobile,Hotstar,,72,1,21-04-2025,21-04-2026,Basic,10.03,INR,Card,FALSE,HD,2,1,TRUE
U1104,Male,14-04-2005,20,Taiwan,Rhode Island,TV,"Hotstar,Netflix",,49,1,08-08-2023,07-08-2024,Basic,9.99,INR,UPI,TRUE,HD,1,1,FALSE
U1105,Other,26-10-1978,46,Guam,Alabama,TV,"Hotstar,Netflix,Prime",,106,1,21-10-2023,20-10-2024,Basic,15.61,USD,Wallet,FALSE,4K,2,2,FALSE
U1106,Other,16-01-2001,24,Gibraltar,Alaska,Mobile,Hotstar,,108,1,13-07-2024,13-07-2025,Basic,11.01,USD,Card,FALSE,HD,3,1,FALSE
U1107,Other,17-04-1995,30,French Southern Territories,Connecticut,Mobile,Prime,,30,0,08-04-2024,08-04-2025,Premium,15.48,INR,Card,FALSE,HD,1,1,FALSE
U1108,Other,03-04-1995,30,Tunisia,Kansas,Laptop,Hotstar,,10,1,06-06-2025,06-06-2026,Standard,15.61,USD,Wallet,FALSE,4K,2,2,TRUE
U1109,Female,03-11-1989,35,New Zealand,Illinois,TV,Prime,,44,1,06-01-2025,06-01-2026,Standard,15.22,USD,UPI,TRUE,SD,3,2,FALSE
U1110,Male,19-02-1980,45,Sri Lanka,Alaska,Laptop,"Hotstar,Netflix,Prime",,92,1,12-02-2025,12-02-2026,Premium,13.34,USD,Wallet,FALSE,SD,2,1,FALSE
